name,S1,S1_conf,ST,ST_conf
Terminal voltage time derivative [V/s],0.1429789890972359,0.10835568541722074,0.5354378482456317,0.09704505359607009
Reaction overpotential time derivative [V/s],0.1711692861778254,0.064482656402928,0.27923630065082145,0.0470180875939957
Electrode concentration overpotential time derivative [V/s],0.2360934669399787,0.10113975430392064,0.5053799054357213,0.07978543868147524
Electrolyte concentration overpotential time derivative [V/s],0.001046643405309291,0.007068433950459613,0.0034587481607275543,0.0006685720277386332
Electrolyte ohmic overpotential time derivative [V/s],0.05471644503529463,0.027495023758086583,0.06008736134997545,0.009818011980447077
