name,S1,S1_conf,ST,ST_conf
kV_lengthscale,0.00447250992294734,0.026939399741383218,0.03641846361611195,0.015929597368142888
kV_variance,0.3280405612035047,0.10098558040035545,0.42071730982130323,0.11444029413152486
k1_lengthscale_1,-0.02065522486324303,0.026183987340736833,0.025194665170671746,0.01553734675871305
k1_lengthscale_2,0.03619131236885802,0.03584632882656933,0.04186571771999294,0.018845869822287795
k1_lengthscale_3,0.025415181563355514,0.03699157651397623,0.070105222618415,0.033013595656644384
k1_lengthscale_4,0.048813205322749034,0.038018104762540736,0.08334223820131605,0.031654331930829685
k1_variance,0.31998116339463784,0.0984724722569046,0.4943991607618313,0.13598131117558043
