name,S1,S1_conf,ST,ST_conf
Terminal voltage time derivative [V/s],0.015081410093129287,0.040379299335896214,0.12448344109087685,0.027624851629953838
Reaction overpotential time derivative [V/s],0.4775988821204034,0.10816514833218754,0.667605917598711,0.10207506674595938
Electrode concentration overpotential time derivative [V/s],0.10179519015574798,0.04460327857144188,0.14731522659254187,0.023676965475816176
Electrolyte concentration overpotential time derivative [V/s],0.02868628634062012,0.04638250335136334,0.11383612284329295,0.0203233132770137
Electrolyte ohmic overpotential time derivative [V/s],0.1458304780286849,0.050906905280680564,0.15294719600645057,0.020472762621491336
